epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,4837.61,0.68738,0.81125,1.27703,0.62043,0.84603,0.88409,0.80388,0.45807,0.9067,1.2136,0.000462259,0.000462259,0.000462259
75,4904.58,0.73584,0.81439,1.29601,0.71946,1,0.95593,0.78274,0.5006,0.7224,1.28347,0.000445756,0.000445756,0.000445756
76,4970.96,0.63285,0.78529,1.22397,0.73466,0.875,0.90936,0.78435,0.49494,0.79593,1.26377,0.000429253,0.000429253,0.000429253
77,5037.3,0.68025,0.83511,1.25716,0.33292,0.47917,0.31559,0.16175,2.31307,7.78457,4.84337,0.000412749,0.000412749,0.000412749
78,5103.7,0.6686,0.75566,1.25998,0.52632,0.52283,0.43323,0.30114,1.56384,3.73369,3.24972,0.000396246,0.000396246,0.000396246
79,5170.06,0.68384,0.8231,1.2606,0.70823,0.91667,0.91729,0.76822,0.57716,0.78907,1.32537,0.000379743,0.000379743,0.000379743
80,5236.46,0.68209,0.81349,1.28754,0.70181,0.78182,0.85602,0.73355,0.59911,0.85063,1.29876,0.000363239,0.000363239,0.000363239
81,5302.9,0.69792,0.84644,1.27057,0.84962,0.60412,0.82468,0.70702,0.62909,0.92405,1.31551,0.000346736,0.000346736,0.000346736
82,5369.57,0.6321,0.80255,1.2487,0.72036,0.91667,0.91169,0.75469,0.63384,0.80175,1.34611,0.000330233,0.000330233,0.000330233
83,5436.1,0.64208,0.77505,1.22537,0.63561,0.91667,0.93154,0.75316,0.54099,0.79376,1.2483,0.000313729,0.000313729,0.000313729
84,5502.39,0.70422,0.82868,1.27596,0.53152,0.57481,0.51071,0.45141,1.00861,3.2315,1.97627,0.000297226,0.000297226,0.000297226
85,5568.65,0.61783,0.72779,1.20967,0.66974,0.81526,0.89765,0.7558,0.59973,0.93449,1.30981,0.000280723,0.000280723,0.000280723
86,5635.03,0.60803,0.7403,1.2336,0.62528,0.7915,0.85161,0.74317,0.51349,0.97513,1.25018,0.00026422,0.00026422,0.00026422
87,5701.8,0.57835,0.72225,1.22144,0.73338,0.98353,0.94328,0.82528,0.4538,0.69295,1.16854,0.000247716,0.000247716,0.000247716
88,5768.44,0.59944,0.75648,1.22867,0.4581,0.52083,0.46398,0.30634,2.02454,10.147,4.97462,0.000231213,0.000231213,0.000231213
89,5835.06,0.60956,0.73547,1.19029,0.65693,0.89008,0.89616,0.77748,0.48389,0.7625,1.17383,0.00021471,0.00021471,0.00021471
90,5901.47,0.57521,0.73871,1.21136,0.77667,0.57981,0.74304,0.61823,0.61362,1.09305,1.31381,0.000198206,0.000198206,0.000198206
91,5967.22,0.68102,0.89426,1.21626,0.70024,0.89132,0.92218,0.78745,0.54347,0.80606,1.22636,0.000181703,0.000181703,0.000181703
92,6032.92,0.64914,0.77434,1.19836,0.67953,0.80502,0.91504,0.76529,0.50421,0.9252,1.20471,0.0001652,0.0001652,0.0001652
93,6099.62,0.60469,0.74927,1.17864,0.34562,0.52083,0.36873,0.23209,1.96031,8.37222,4.68609,0.000148696,0.000148696,0.000148696
94,6165.88,0.66678,0.76573,1.15045,0.81071,0.59609,0.85868,0.74882,0.49262,0.9657,1.17482,0.000132193,0.000132193,0.000132193
95,6231.83,0.59915,0.78159,1.11813,0.69389,0.89411,0.92669,0.79655,0.49293,0.87171,1.19865,0.00011569,0.00011569,0.00011569
96,6297.7,0.61703,0.68235,1.11296,0.71018,0.91563,0.94008,0.8106,0.45638,0.80501,1.16705,9.91865e-05,9.91865e-05,9.91865e-05
97,6363.58,0.60927,0.70336,1.12577,0.7201,0.95833,0.92658,0.80589,0.45187,0.77427,1.15964,8.26832e-05,8.26832e-05,8.26832e-05
98,6429.36,0.58295,0.75365,1.15628,0.73165,0.9702,0.93949,0.80221,0.44792,0.71361,1.15475,6.61799e-05,6.61799e-05,6.61799e-05
99,6495.46,0.53359,0.69963,1.07984,0.71986,0.96041,0.94647,0.82759,0.46404,0.75463,1.15607,4.96766e-05,4.96766e-05,4.96766e-05
100,6561.42,0.5904,0.71928,1.14243,0.71675,0.97007,0.94161,0.81676,0.44747,0.75878,1.14899,3.31733e-05,3.31733e-05,3.31733e-05
